species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,53,14,196,5160,MALE
Adelie,Dream,54,14,181,4701,FEMALE
Gentoo,Biscoe,44,17,192,2834,MALE
Chinstrap,Dream,38,17,196,4434,FEMALE
Chinstrap,Dream,58,14,194,6260,MALE
Chinstrap,Dream,38,14,186,3262,FEMALE
Adelie,Torgersen,48,16,173,4935,MALE
Chinstrap,Biscoe,48,14,175,5437,MALE
Gentoo,Dream,34,16,209,4135,FEMALE
Adelie,Torgersen,41,17,216,5634,FEMALE
Gentoo,Biscoe,40,21,222,4525,MALE
Chinstrap,Dream,57,16,229,5559,MALE
Adelie,Torgersen,37,17,208,4395,MALE
Gentoo,Torgersen,57,18,173,3722,FEMALE
Chinstrap,Dream,48,16,180,5783,MALE
Gentoo,Torgersen,48,17,216,4885,MALE
Adelie,Torgersen,46,15,210,3198,FEMALE
Gentoo,Torgersen,57,14,192,5073,MALE
Adelie,Dream,40,20,184,5212,MALE
Adelie,Dream,51,14,180,5756,FEMALE
Adelie,Dream,51,18,223,4791,FEMALE
Adelie,Biscoe,45,14,210,3029,FEMALE
Gentoo,Dream,45,15,224,2852,FEMALE
Adelie,Dream,59,18,172,5417,MALE
Chinstrap,Torgersen,56,16,185,4092,FEMALE
Gentoo,Dream,45,17,223,5555,FEMALE
Chinstrap,Torgersen,41,20,202,4324,FEMALE
Adelie,Torgersen,55,20,219,6267,MALE
Chinstrap,Torgersen,35,18,172,4102,FEMALE
Chinstrap,Torgersen,45,16,176,3210,MALE
Chinstrap,Biscoe,39,17,202,2847,MALE
Gentoo,Dream,41,15,206,3889,MALE
Adelie,Dream,56,15,216,6265,FEMALE
Adelie,Torgersen,33,14,192,4225,FEMALE
Gentoo,Biscoe,34,20,226,4612,MALE
Gentoo,Torgersen,58,18,196,5283,MALE
Chinstrap,Dream,36,16,202,4424,MALE
Chinstrap,Dream,48,13,229,5996,FEMALE
Chinstrap,Biscoe,36,16,213,4422,FEMALE
Gentoo,Biscoe,55,16,188,3696,MALE
Chinstrap,Torgersen,35,20,205,4667,FEMALE
Gentoo,Biscoe,54,14,189,3772,MALE
Chinstrap,Torgersen,49,13,179,3288,FEMALE
Gentoo,Biscoe,33,15,193,4686,MALE
Gentoo,Dream,41,15,180,4206,MALE
Chinstrap,Dream,39,19,185,5404,MALE
Adelie,Biscoe,42,20,226,3647,MALE
Gentoo,Torgersen,32,13,206,5754,FEMALE
Chinstrap,Dream,46,16,213,5740,MALE
Chinstrap,Torgersen,33,20,222,6213,MALE
Gentoo,Biscoe,35,17,201,5875,MALE
Chinstrap,Dream,46,20,183,3520,MALE
Chinstrap,Dream,47,15,176,6059,FEMALE
Gentoo,Biscoe,34,15,196,6080,FEMALE
Chinstrap,Torgersen,35,13,199,5253,MALE
Gentoo,Torgersen,53,19,207,5099,MALE
Gentoo,Torgersen,56,19,222,5372,FEMALE
Chinstrap,Biscoe,40,14,211,5181,MALE
Chinstrap,Biscoe,51,14,214,5653,FEMALE
Gentoo,Biscoe,34,13,213,2711,MALE
Chinstrap,Biscoe,45,14,189,5075,FEMALE
Gentoo,Biscoe,48,13,207,5931,MALE
Chinstrap,Dream,56,15,190,3786,FEMALE
Chinstrap,Biscoe,49,14,183,4951,FEMALE
Chinstrap,Torgersen,55,21,203,3095,MALE
Gentoo,Dream,47,16,217,4130,FEMALE
Chinstrap,Dream,37,15,192,2737,FEMALE
Gentoo,Dream,37,18,204,3605,FEMALE
Chinstrap,Torgersen,52,19,195,3025,FEMALE
Adelie,Torgersen,54,17,219,5282,MALE
Chinstrap,Torgersen,41,18,187,3813,FEMALE
Chinstrap,Biscoe,41,15,195,5721,FEMALE
Chinstrap,Biscoe,55,18,181,5545,MALE
Gentoo,Dream,56,13,218,4239,MALE
Gentoo,Biscoe,34,13,200,5161,MALE
Chinstrap,Dream,59,18,177,6089,FEMALE
Adelie,Torgersen,44,19,213,4562,FEMALE
Chinstrap,Dream,41,15,220,2963,MALE
Gentoo,Dream,41,19,217,4710,FEMALE
Chinstrap,Dream,52,13,202,4043,MALE
Chinstrap,Torgersen,59,20,173,5934,FEMALE
Chinstrap,Biscoe,46,19,219,6260,FEMALE
Chinstrap,Dream,42,19,226,2919,FEMALE
Adelie,Biscoe,59,18,188,5080,FEMALE
Adelie,Dream,35,18,199,4349,FEMALE
Chinstrap,Torgersen,46,14,218,4883,FEMALE
Chinstrap,Torgersen,47,19,177,5630,MALE
Gentoo,Torgersen,50,17,207,5159,MALE
Chinstrap,Biscoe,33,15,172,3780,FEMALE
Chinstrap,Torgersen,50,14,182,4560,MALE
Chinstrap,Torgersen,43,15,180,5492,FEMALE
Gentoo,Torgersen,44,14,208,6063,MALE
Adelie,Dream,41,19,220,3131,FEMALE
Adelie,Dream,55,18,228,4294,MALE
Gentoo,Torgersen,51,14,215,5790,FEMALE
Adelie,Torgersen,53,18,207,4065,FEMALE
Gentoo,Dream,50,17,189,3396,MALE
Adelie,Torgersen,52,17,191,4303,MALE
Chinstrap,Dream,59,20,194,5998,FEMALE
Gentoo,Dream,45,13,200,5722,MALE
Gentoo,Torgersen,55,19,174,4670,FEMALE
Gentoo,Dream,35,19,211,5276,MALE
Chinstrap,Biscoe,51,17,172,5138,FEMALE
Adelie,Torgersen,33,19,174,3845,FEMALE
Chinstrap,Biscoe,43,17,208,5220,MALE
Adelie,Dream,43,17,174,2875,MALE
Gentoo,Biscoe,34,18,226,4844,MALE
Gentoo,Biscoe,39,15,191,4676,MALE
Chinstrap,Dream,38,17,207,6210,MALE
Adelie,Torgersen,37,17,226,5404,MALE
Chinstrap,Torgersen,41,20,201,5840,FEMALE
Adelie,Biscoe,33,16,177,5111,MALE
Adelie,Torgersen,56,16,176,5762,MALE
Chinstrap,Dream,54,19,191,3714,MALE
Gentoo,Torgersen,48,15,190,4985,FEMALE
Chinstrap,Torgersen,32,20,196,5100,FEMALE
Adelie,Torgersen,58,17,195,6172,FEMALE
Chinstrap,Biscoe,37,15,201,3478,MALE
Gentoo,Dream,35,16,208,3327,FEMALE
Chinstrap,Biscoe,41,19,204,5782,FEMALE
Adelie,Dream,42,20,191,5570,FEMALE
Gentoo,Dream,44,18,229,2898,MALE
Gentoo,Torgersen,50,15,227,5489,MALE
Adelie,Torgersen,44,14,211,3049,MALE
Gentoo,Torgersen,48,15,219,2783,FEMALE
Gentoo,Dream,53,17,178,5877,MALE
Gentoo,Biscoe,44,20,181,3428,MALE
Gentoo,Torgersen,33,19,205,4376,MALE
Gentoo,Torgersen,35,14,229,4471,MALE
Adelie,Dream,54,20,223,4521,MALE
Adelie,Biscoe,49,21,218,4977,MALE
Chinstrap,Dream,41,17,206,4121,MALE
Adelie,Dream,47,19,198,4329,MALE
Chinstrap,Torgersen,47,16,183,5695,MALE
Adelie,Biscoe,51,20,225,2960,MALE
Gentoo,Dream,50,20,187,4345,MALE
Chinstrap,Dream,47,14,180,4433,FEMALE
Chinstrap,Dream,53,15,176,6050,MALE
Gentoo,Dream,43,15,187,6217,FEMALE
Adelie,Dream,50,18,180,3592,FEMALE
Gentoo,Torgersen,44,19,192,4488,MALE
Chinstrap,Biscoe,42,15,219,4610,MALE
Adelie,Dream,33,18,201,5520,MALE
Adelie,Biscoe,45,15,191,4409,FEMALE
Chinstrap,Dream,34,17,191,3199,FEMALE
Adelie,Biscoe,49,14,201,4646,FEMALE
Gentoo,Biscoe,51,20,202,3904,FEMALE
Gentoo,Torgersen,32,17,210,4436,MALE
Chinstrap,Dream,32,16,212,3821,MALE
Gentoo,Torgersen,58,14,177,2966,MALE
Gentoo,Biscoe,33,14,188,3309,MALE
Gentoo,Biscoe,45,15,227,3764,FEMALE
Adelie,Dream,59,20,192,4254,FEMALE
Adelie,Biscoe,43,14,173,5726,FEMALE
Chinstrap,Torgersen,37,19,215,6045,FEMALE
Gentoo,Biscoe,37,16,189,4383,MALE
Adelie,Biscoe,48,16,184,5409,FEMALE
Chinstrap,Biscoe,38,13,202,3052,MALE
Adelie,Biscoe,53,14,176,6182,MALE
Adelie,Torgersen,34,13,188,2713,FEMALE
Chinstrap,Biscoe,39,16,218,6227,FEMALE
Adelie,Dream,35,19,202,5743,FEMALE
Gentoo,Dream,57,13,172,2761,FEMALE
Chinstrap,Dream,47,18,209,5772,FEMALE
Chinstrap,Dream,46,14,195,3125,MALE
Gentoo,Torgersen,51,18,214,5581,FEMALE
Adelie,Dream,32,17,189,3267,MALE
Chinstrap,Torgersen,35,16,208,5374,MALE
Gentoo,Biscoe,52,19,202,4968,FEMALE
Gentoo,Dream,50,19,212,5373,FEMALE
Adelie,Dream,43,21,222,4061,FEMALE
Adelie,Dream,47,20,185,4247,MALE
Gentoo,Dream,56,18,226,4491,FEMALE
Adelie,Biscoe,38,19,180,4960,MALE
Chinstrap,Dream,35,19,202,4049,FEMALE
Adelie,Dream,32,13,173,5103,MALE
Chinstrap,Dream,36,17,182,5546,FEMALE
Chinstrap,Biscoe,57,19,179,5020,FEMALE
Chinstrap,Biscoe,43,14,175,5389,MALE
Chinstrap,Biscoe,47,18,194,5740,MALE
Chinstrap,Biscoe,51,20,222,3158,FEMALE
Chinstrap,Biscoe,50,19,220,3437,FEMALE
Adelie,Biscoe,34,14,185,3719,MALE
Gentoo,Torgersen,36,17,174,4563,FEMALE
Chinstrap,Dream,49,16,217,2796,MALE
Chinstrap,Biscoe,40,13,228,5889,FEMALE
Adelie,Torgersen,54,18,225,2834,MALE
Gentoo,Torgersen,56,19,221,2810,FEMALE
Chinstrap,Dream,58,18,226,5132,FEMALE
Gentoo,Biscoe,46,15,210,3840,MALE
Gentoo,Biscoe,43,17,216,4168,MALE
Chinstrap,Dream,43,20,190,6133,FEMALE
Adelie,Dream,35,16,177,6036,FEMALE
Chinstrap,Torgersen,54,19,228,5613,MALE
Gentoo,Dream,33,18,211,4877,MALE
Gentoo,Torgersen,44,20,202,4170,FEMALE
Adelie,Biscoe,49,18,218,2908,MALE
Gentoo,Dream,46,18,198,3361,FEMALE
Adelie,Biscoe,41,14,197,5198,MALE
Adelie,Torgersen,55,15,188,4519,MALE
Adelie,Torgersen,34,14,190,4187,FEMALE
Chinstrap,Biscoe,48,16,174,3969,FEMALE
Chinstrap,Biscoe,45,16,219,3839,FEMALE
Adelie,Torgersen,34,13,189,4031,FEMALE
Gentoo,Biscoe,50,13,219,6098,FEMALE
Gentoo,Dream,33,17,184,4260,FEMALE
Adelie,Dream,32,18,206,3248,MALE
Adelie,Dream,54,15,203,6087,MALE
Chinstrap,Torgersen,54,14,191,5333,MALE
Chinstrap,Biscoe,35,14,200,3574,MALE
Gentoo,Biscoe,40,20,184,6068,MALE
Adelie,Biscoe,44,17,210,5666,FEMALE
Gentoo,Dream,59,15,199,4305,FEMALE
Adelie,Biscoe,41,14,183,3023,FEMALE
Gentoo,Torgersen,52,16,177,3061,FEMALE
Chinstrap,Biscoe,53,16,224,3066,MALE
Gentoo,Dream,44,15,201,5694,MALE
Chinstrap,Dream,39,19,206,2844,FEMALE
Adelie,Dream,49,18,190,5684,MALE
Adelie,Biscoe,51,17,209,5042,FEMALE
Adelie,Torgersen,53,17,214,4809,MALE
Adelie,Biscoe,41,19,201,3618,MALE
Chinstrap,Biscoe,45,18,192,4744,MALE
Chinstrap,Torgersen,53,19,189,5273,MALE
Adelie,Biscoe,40,16,217,5444,FEMALE
Adelie,Torgersen,34,17,208,4024,MALE
Gentoo,Biscoe,33,17,208,5804,MALE
Gentoo,Biscoe,49,20,172,5998,MALE
Gentoo,Torgersen,45,16,182,5472,MALE
Gentoo,Torgersen,50,15,202,4495,MALE
Chinstrap,Torgersen,42,20,178,4570,MALE
Chinstrap,Torgersen,51,16,210,4326,MALE
Chinstrap,Torgersen,39,14,227,4242,FEMALE
Chinstrap,Torgersen,39,20,211,3035,FEMALE
Chinstrap,Dream,50,18,173,5297,MALE
Chinstrap,Torgersen,44,18,191,2802,MALE
Gentoo,Torgersen,44,19,188,4551,MALE
Gentoo,Torgersen,52,21,201,2990,MALE
Chinstrap,Dream,49,17,210,4616,FEMALE
Adelie,Dream,56,13,187,3292,FEMALE
Gentoo,Torgersen,51,18,222,4155,MALE
Chinstrap,Torgersen,51,14,198,4193,FEMALE
Gentoo,Dream,56,14,218,6094,FEMALE
Chinstrap,Dream,33,17,216,5155,MALE
Chinstrap,Dream,52,19,212,3866,FEMALE
Adelie,Biscoe,57,15,175,4667,MALE
Gentoo,Biscoe,48,16,183,5828,FEMALE
Adelie,Torgersen,54,14,211,4586,MALE
Chinstrap,Biscoe,33,18,215,2994,MALE
Adelie,Torgersen,59,15,195,4969,FEMALE
Chinstrap,Biscoe,36,20,185,5352,FEMALE
Adelie,Dream,51,15,224,4199,MALE
Chinstrap,Dream,40,16,182,3795,MALE
Chinstrap,Torgersen,32,14,203,6165,FEMALE
Chinstrap,Biscoe,45,19,219,5470,MALE
Adelie,Torgersen,58,18,226,3671,MALE
Gentoo,Dream,49,16,187,4753,FEMALE
Gentoo,Dream,35,15,210,4616,FEMALE
Chinstrap,Torgersen,44,15,214,2913,FEMALE
Adelie,Torgersen,58,19,215,5484,MALE
Chinstrap,Dream,36,20,177,2811,MALE
Adelie,Dream,39,15,228,5306,FEMALE
Chinstrap,Biscoe,42,20,207,3046,MALE
Gentoo,Dream,33,17,187,2989,MALE
Chinstrap,Torgersen,48,17,221,3077,FEMALE
Gentoo,Dream,41,16,180,3129,MALE
Chinstrap,Biscoe,50,20,213,3008,MALE
Adelie,Biscoe,38,15,217,5369,MALE
Gentoo,Biscoe,34,18,187,3686,FEMALE
Chinstrap,Dream,43,19,204,2849,MALE
Adelie,Biscoe,41,20,199,5344,MALE
Adelie,Biscoe,48,17,196,3446,MALE
Adelie,Torgersen,44,15,193,5281,FEMALE
Gentoo,Dream,55,15,207,5414,MALE
Adelie,Dream,53,17,203,3468,FEMALE
Adelie,Biscoe,50,18,195,3844,FEMALE
Adelie,Dream,44,21,217,2900,FEMALE
Gentoo,Biscoe,52,18,203,6202,MALE
Adelie,Biscoe,54,14,196,3690,MALE
Gentoo,Torgersen,54,19,202,4569,MALE
Adelie,Biscoe,36,20,195,4011,MALE
Chinstrap,Biscoe,46,21,229,3114,MALE
Chinstrap,Biscoe,35,17,216,3256,FEMALE
Adelie,Dream,41,20,195,2890,MALE
Adelie,Biscoe,53,17,179,5876,FEMALE
Adelie,Biscoe,51,17,188,3767,FEMALE
Chinstrap,Dream,55,20,227,3572,MALE
Chinstrap,Torgersen,58,21,217,5903,FEMALE
Gentoo,Torgersen,37,15,226,4008,FEMALE
Adelie,Dream,53,18,204,4609,MALE
Gentoo,Biscoe,34,19,199,4535,FEMALE
Chinstrap,Biscoe,50,14,214,3186,MALE
Gentoo,Biscoe,39,18,191,2775,FEMALE
Gentoo,Torgersen,42,19,190,4802,MALE
Adelie,Biscoe,56,19,177,4499,FEMALE
Adelie,Biscoe,43,20,202,3473,FEMALE
Gentoo,Torgersen,39,20,212,4385,FEMALE
Chinstrap,Torgersen,38,15,226,5030,FEMALE
Chinstrap,Biscoe,46,17,218,6099,FEMALE
Adelie,Dream,52,16,190,3074,FEMALE
Adelie,Biscoe,35,18,215,2855,FEMALE
Gentoo,Dream,40,16,200,5490,FEMALE
Adelie,Biscoe,57,21,196,4470,MALE
Adelie,Biscoe,44,14,210,4637,FEMALE
Gentoo,Torgersen,50,15,211,3195,FEMALE
Chinstrap,Torgersen,35,15,183,4961,FEMALE
Chinstrap,Torgersen,38,14,205,3721,MALE
Gentoo,Torgersen,58,17,181,4653,MALE
Chinstrap,Torgersen,34,17,208,3738,FEMALE
Gentoo,Biscoe,50,19,219,3058,MALE
Adelie,Dream,58,16,209,3591,FEMALE
Adelie,Dream,36,13,213,3763,MALE
Gentoo,Torgersen,50,14,178,3954,FEMALE
Chinstrap,Torgersen,49,14,224,4287,MALE
Chinstrap,Biscoe,46,15,196,5504,MALE
Adelie,Biscoe,43,15,211,3495,FEMALE
Adelie,Biscoe,42,20,183,4624,FEMALE
Adelie,Dream,49,19,228,2889,FEMALE
Adelie,Biscoe,35,14,181,2846,FEMALE
Adelie,Dream,57,18,191,3666,MALE
Gentoo,Biscoe,32,13,184,5605,FEMALE
Chinstrap,Dream,38,16,203,3883,FEMALE
Chinstrap,Dream,47,20,180,4836,FEMALE
Chinstrap,Torgersen,51,21,213,5818,MALE
Gentoo,Torgersen,47,16,225,2701,MALE
Gentoo,Dream,38,19,203,6250,MALE
Chinstrap,Biscoe,37,13,197,6292,FEMALE
Adelie,Biscoe,41,20,193,3942,FEMALE
Chinstrap,Dream,40,20,210,2708,FEMALE
Adelie,Dream,33,18,194,5667,FEMALE
Chinstrap,Biscoe,41,21,221,5131,FEMALE
Chinstrap,Torgersen,38,15,223,3046,FEMALE
Chinstrap,Dream,57,20,221,5546,FEMALE
Gentoo,Torgersen,34,15,225,3766,MALE
Gentoo,Dream,45,14,193,5704,FEMALE
Adelie,Torgersen,53,19,228,5567,FEMALE
Gentoo,Biscoe,53,15,196,4693,MALE
Chinstrap,Biscoe,42,13,201,3030,MALE
Adelie,Dream,57,21,222,3952,FEMALE
Chinstrap,Dream,56,18,173,5445,MALE
Chinstrap,Dream,38,19,178,5476,MALE
Chinstrap,Dream,59,13,199,2716,MALE
Adelie,Dream,37,13,176,5939,FEMALE
Gentoo,Biscoe,46,20,181,6251,FEMALE
Adelie,Biscoe,42,14,205,5466,FEMALE
Gentoo,Dream,36,20,192,3725,MALE
Chinstrap,Biscoe,34,16,219,5179,FEMALE
Chinstrap,Torgersen,39,16,221,3946,MALE
Adelie,Biscoe,41,19,222,3331,MALE
Gentoo,Dream,41,17,181,4560,FEMALE
Gentoo,Biscoe,46,20,209,3898,MALE
Adelie,Dream,43,20,182,4977,MALE
Gentoo,Biscoe,45,15,229,3466,FEMALE
Gentoo,Torgersen,41,15,177,4196,FEMALE
Gentoo,Dream,56,14,190,3423,FEMALE
Gentoo,Biscoe,44,19,215,3733,FEMALE
Adelie,Dream,55,13,217,5346,MALE
Chinstrap,Dream,34,19,178,4386,FEMALE
Chinstrap,Torgersen,43,17,176,3066,MALE
Chinstrap,Dream,55,19,205,4715,MALE
Chinstrap,Dream,51,21,207,3908,FEMALE
Chinstrap,Biscoe,57,17,205,3317,FEMALE
Gentoo,Biscoe,47,15,179,4450,MALE
Adelie,Torgersen,36,17,205,4854,FEMALE
Adelie,Torgersen,40,20,196,3857,MALE
Chinstrap,Dream,33,17,209,5484,MALE
Chinstrap,Dream,53,13,194,3188,FEMALE
Chinstrap,Dream,45,18,206,4509,FEMALE
Adelie,Biscoe,44,14,201,5370,MALE
Adelie,Dream,53,18,221,3775,MALE
Gentoo,Dream,36,13,204,4800,MALE
Chinstrap,Biscoe,32,19,193,5117,MALE
Chinstrap,Biscoe,37,16,207,5772,FEMALE
Chinstrap,Torgersen,58,13,225,3098,FEMALE
Chinstrap,Torgersen,35,18,194,4442,MALE
Gentoo,Biscoe,38,16,215,5979,MALE
Gentoo,Torgersen,51,18,209,5482,MALE
Adelie,Biscoe,43,19,172,3915,FEMALE
Chinstrap,Biscoe,51,21,228,4970,FEMALE
Gentoo,Biscoe,33,16,218,4112,FEMALE
Gentoo,Biscoe,46,18,180,6123,MALE
Adelie,Biscoe,43,19,201,3349,FEMALE
Chinstrap,Biscoe,42,18,200,5792,FEMALE
Gentoo,Dream,35,16,182,5706,FEMALE
Gentoo,Biscoe,55,15,183,3885,MALE
Adelie,Torgersen,59,21,218,5862,FEMALE
Chinstrap,Dream,48,15,216,4671,MALE
Gentoo,Biscoe,51,18,208,6264,MALE
Adelie,Torgersen,32,15,177,3521,FEMALE
Gentoo,Biscoe,42,20,175,3302,FEMALE
Chinstrap,Torgersen,39,18,172,2894,MALE
Adelie,Biscoe,52,14,226,2760,FEMALE
Chinstrap,Biscoe,56,17,202,3543,FEMALE
Chinstrap,Dream,53,21,228,4001,FEMALE
Chinstrap,Biscoe,51,18,190,5168,MALE
Chinstrap,Biscoe,52,15,193,4615,FEMALE
Chinstrap,Biscoe,32,20,212,3292,FEMALE
Gentoo,Biscoe,52,14,186,5994,MALE
Gentoo,Biscoe,37,14,215,3515,FEMALE
Adelie,Torgersen,37,20,201,2932,FEMALE
Adelie,Torgersen,49,17,182,6028,FEMALE
Chinstrap,Biscoe,33,17,202,4530,FEMALE
Gentoo,Biscoe,41,17,189,5924,FEMALE
Gentoo,Dream,56,15,193,5898,MALE
Adelie,Biscoe,47,21,186,5588,FEMALE
Chinstrap,Biscoe,33,19,175,3093,FEMALE
Adelie,Biscoe,57,20,172,6283,FEMALE
Chinstrap,Biscoe,57,19,212,2706,MALE
Chinstrap,Biscoe,34,15,187,6061,MALE
Gentoo,Dream,38,17,197,3837,FEMALE
Chinstrap,Biscoe,57,15,229,6141,MALE
Gentoo,Dream,44,21,198,5464,FEMALE
Adelie,Dream,49,13,177,3051,MALE
Chinstrap,Biscoe,54,19,178,3586,FEMALE
Chinstrap,Torgersen,57,19,179,4081,MALE
Gentoo,Biscoe,55,18,200,4830,MALE
Chinstrap,Torgersen,35,13,177,6073,MALE
Adelie,Biscoe,49,13,184,6067,MALE
Adelie,Biscoe,37,19,217,4008,MALE
Gentoo,Torgersen,50,13,177,4942,FEMALE
Chinstrap,Torgersen,53,20,192,5368,MALE
Adelie,Torgersen,40,14,221,5309,FEMALE
Gentoo,Biscoe,58,19,196,5509,MALE
Chinstrap,Dream,53,21,200,4338,FEMALE
Chinstrap,Torgersen,55,20,216,3446,FEMALE
Chinstrap,Dream,54,15,179,6297,MALE
Chinstrap,Torgersen,49,18,182,2752,MALE
Chinstrap,Biscoe,53,13,186,5684,FEMALE
Adelie,Torgersen,43,16,228,3732,FEMALE
Chinstrap,Biscoe,51,14,194,4916,FEMALE
Adelie,Dream,59,20,219,4696,FEMALE
Adelie,Torgersen,33,19,196,3613,MALE
Adelie,Dream,53,21,174,5209,MALE
Gentoo,Dream,41,19,173,4263,FEMALE
Gentoo,Dream,38,18,209,3493,MALE
Chinstrap,Torgersen,32,16,192,4640,FEMALE
Adelie,Biscoe,57,19,205,5844,FEMALE
Chinstrap,Torgersen,44,16,190,5126,FEMALE
Adelie,Dream,43,20,180,4461,MALE
Adelie,Torgersen,46,14,215,3694,MALE
Gentoo,Dream,41,13,219,3976,MALE
Adelie,Dream,48,18,187,3038,FEMALE
Chinstrap,Dream,37,21,180,2812,FEMALE
Gentoo,Torgersen,32,18,200,3353,FEMALE
Adelie,Torgersen,35,20,203,4196,FEMALE
Gentoo,Dream,38,19,219,6175,FEMALE
